"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.lupo.com.br/","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/kits","1","Economize comprando kits de meias, cuecas, calcinhas ou camisetas Lupo. Aproveite condições especiais e parcele sua compra em até 6x Sem Juros.","143","925","Indexable",""
"https://www.lupo.com.br/novidades","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/feminino","1","Meias, sutiãs, pijamas, roupas esportivas e calcinhas Lupo, o conforto que você merece! Confira as nossas coleções e renove o seu guarda roupa agora mesmo.","155","986","Indexable",""
"https://www.lupo.com.br/masculino","1","Meias, roupas para esporte, pijamas e cuecas Lupo com a qualidade que você já conhece! Moda masculina com conforto e tecnologia você só encontra aqui!","150","966","Indexable",""
"https://www.lupo.com.br/outlet","1","Que tal 40% Off em produtos Lupo? Clique e encontre Pijamas, Calças Legging, diversos modelos de Cueca e muito mais. Visite o site e aproveite já!","146","905","Indexable",""
"https://www.lupo.com.br/meninos","1","Linha completa Lupo para meninos: roupas, meias, cuecas e pijamas infantis. Roupas e acessórios que combinam conforto e estilo. Parcele sua compra Sem Juros!","157","1010","Indexable",""
"https://www.lupo.com.br/pijamas","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/account","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-americano-longo-24602-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meninas","1","Confira a moda infantil feminina, aqui na Lupo. Meias, Meia-Calça, Pijamas, Calcinhas e mais! Peças feitas com os melhores materiais para um super conforto!","156","977","Indexable",""
"https://www.lupo.com.br/pijamas?map=productclusternames","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-shdoll-raglan-22683-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-curto-coffee-24687-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-sap-invisivel-k2-02170-088/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meninas/","1","Confira a moda infantil feminina, aqui na Lupo. Meias, Meia-Calça, Pijamas, Calcinhas e mais! Peças feitas com os melhores materiais para um super conforto!","156","977","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-abotoado-22623-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/pijama-lupo-kf-longo-jogger-22620-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-sap-anti-02286-002/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meia-disney-kids-unissex-divertida-mente--02403-001/p","1","Emoção e conforto com a ©Disney/Pixar e Lupo: confira a Meia Disney Kids Unissex Divertida Mente. Estilo e diversão para crianças, com personagens do filme.","156","984","Indexable",""
"https://www.lupo.com.br/meninas/pijamas","1","As melhores ofertas em Pijama para verão e inverno, Baby Doll e Camisolas, aqui na LUPO. Confira os modelos de Pijama Infantil Feminino e compre em até 3x!","155","979","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-leve-meia-estacao-24646-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meninas/calcinhas","1","Confira as ofertas em Calcinha Infantil aqui na LUPO. Peças confortáveis com estampas divertidas e em diversas cores. Aproveite 5% off na primeira compra!","154","971","Indexable",""
"https://www.lupo.com.br/pijama-lupo-km-curto-milk-20687-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meninas/meias","1","Aqui na LUPO você encontra grande variedade de Meia Infantil Feminina com as melhores ofertas! Confira Meia Sapatilha, Antiderrapante e mais em até 3x!","151","960","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-shdoll-24243-003/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/pijama-lupo-am-longo-familia-cinema-28686-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-longo-canelado-24607-001/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-kit2-00141-088/p","1","Renove suas cuecas com o kit Lupo com 2 boxers. O conforto da microfibra sem costura com toque macio e ajuste ideal. Compre o seu com economia!","143","929","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-sport-kit2-02727-088/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meninos/meias","1","Meia Infantil com os melhores preços, você encontra na LUPO! Meia Soquete, Antiderrapante e para Recém Nascido com diversas estampas. Confira no site!","150","965","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00132-002/p","1","Garanta conforto e estilo para os pequenos com a Cueca Boxer Infantil Microfibra Cós Faixas. Design moderno, oferece ajuste seguro e toque suave.","145","916","Indexable",""
"https://www.lupo.com.br/beachwear","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/boxer-lupo-kids-algodo-c-elastano-00151-011/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-sport-kit3-02725-089/p","1","Economize nas meias das crianças comprando o kit com 3 pares. Essas meias de cano curto são feitas de algodão, entregam durabilidade e conforto.","144","924","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00136-001/p","1","Cueca Boxer Infantil em Microfibra com Cós Chanfrado da Lupo, garantindo conforto e estilo para os pequenos. Durável e suave. Encontre na Lupo!","143","912","Indexable",""
"https://www.lupo.com.br/meninos/pijama","1","Na hora de dormir, conforto é essencial, por isso a LUPO oferece diversos modelos de Pijama Infantil para verão ou inverno. Aproveite as ofertas no site!","153","936","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-00137-010/p","1","Tenha qualidade superior com a Cueca Boxer Infantil da Lupo. Seu fio texturizado com sensação de algodão garante o seu conforto. Parcele sem juros!","147","933","Indexable",""
"https://www.lupo.com.br/meia-lupo-af-kit3-04536-089/p","1","04536-089,Meia Lupo Kit3 - Kit com 3 Pares (Adulto),04536-0891700901","68","452","Indexable",""
"https://www.lupo.com.br/calcinha-lobinha-kf-basica-kit3-18101-089/p","1","18100-089,Calcinha Lobinha Estampada K3 - Kit com 3 Unidades (Infantil),18100-0891250907","88","587","Indexable",""
"https://www.lupo.com.br/meninos/cuecas","1","Confira Cueca Infantil em diversas cores e estampas no site. A LUPO oferece roupas e acessórios confortáveis para uso diário. Compre no site em até 3x!","151","943","Indexable",""
"https://www.lupo.com.br/meia-lupo-au-sport-kit3-03270-089/p","1","Kit com 3 Pares de Meia Soquete Sortidas: ideal para praticar atividades físicas. Conforto e proteção aos pés durante os exercícios. Economize no site da Lupo","158","976","Indexable",""
"https://www.lupo.com.br/meia-lupo-am-sport-kit3-03292-089/p","1","Leve já o Kit com 3 meias da Lupo. Combinação de algodão e poliamida para durabilidade. O kit prático que facilita sua rotina. Aproveite o custo-benefício","154","947","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-boxer-kit2-00784-088/p","1","Chegou o kit com 2 cuecas boxer: melhor custo-benefício com qualidade Lupo. Conforto e economia com um tecido que se adapta ao corpo sem marcar.","144","940","Indexable",""
"https://www.lupo.com.br/meia-lupo-au-walk-kit3-03225-089/p","1","Economize Comprando o Kit: 3 pares de Meias Cano Curto Lupo com 76% de Algodão. Conforto, Leveza e Praticidade com Parcelamento Em Até 2x Sem Juros","147","978","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-slip-kit3-00515-089/p","1","Economize comprando o kit com 3 cuecas slip de algodão, ideal para leva mais conforto ao seu dia a dia. Compre agora com facilidade no site da Lupo!","148","931","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-kit2-02835-088/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/kits?map=productclusternames","1","Economize comprando kits de meias, cuecas, calcinhas ou camisetas Lupo. Aproveite condições especiais e parcele sua compra em até 6x Sem Juros.","143","925","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/meia-disney-ku-mickey-02300-292/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/geral?map=productclusternames","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/robe-modal-exclusivo-feminino-lupo/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-felpa-cano-mdio-03701-002/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-02728-002/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meia-disney-au-toy-story-16990-039/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/pijama-modal-exclusivo-masculino-lupo/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/calcinha-loba-basica-sem-costura/p","1","Versátil e confortável, a Calcinha Loba Básica Clássica da Lupo traz leveza e estilo que se adapta ao gosto da mulher brasileira. Parcele Em Até 2x Sem Juros","157","968","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-shdoll-modal-floral-24595-900/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
"https://www.lupo.com.br/meia-disney-km-cars-02230-130/p","1","Veja roupas pra academia, pratica de esportes, cuecas, calcinhas, sutiãs, pijamas e meias com qualidade e conforto Lupo para homens, mulheres e crianças!","153","965","Indexable",""
