"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/","836","316","2.646","77.756","Fairly Easy","","","","","","","","","","pt","8e64ef76f28e3591e663cdb2337c61ae","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","519","170","3.053","71.865","Fairly Easy","","","","","","","","","","pt","833b2c334234c9d6474f59de2e4f6ebe","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","518","161","3.217","70.953","Fairly Easy","","","","","","","","","","pt","b24aaf333a7ca9af8ba8fa058570ab30","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","848","229","3.703","71.188","Fairly Easy","","","","","","","","","","pt","982560cc604f1e8dcf71e5bdc484609b","Indexable",""
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","1011","289","3.498","73.665","Fairly Easy","","","","","","","","","","pt","39e099bf2dd4fde49edf9dab6716b1d7","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","1112","307","3.622","65.227","Normal","","","","","","","","","","pt","4658eb7557a6ba7884662bb6da0013eb","Indexable",""
"https://www.lolaaviamentos.com.br/empresa/","614","154","3.987","53.843","Fairly Hard","","","","","","","","","","pt","d289343d03435e200dd28af782a41aa8","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","495","158","3.133","69.833","Normal","","","","","","","","","","pt","bb03fc40c0f516782f66e91fda5f9704","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/toque-macio/","799","264","3.027","79.775","Fairly Easy","","","","","","","","","","pt","81bd5a589aa32a18af580ffe935665f6","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/acessorios/","514","175","2.937","72.016","Fairly Easy","","","","","","","","","","pt","b63e78a04e0c0e9ef64b6a590c3a4787","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","455","137","3.321","66.059","Normal","","","","","","","","","","pt","3d4a1a6e388ef121536ffed2a4df115f","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","965","252","3.829","70.744","Fairly Easy","","","","","","","","","","pt","d13e10c672ae0d5c59eb3c94c28f44c1","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","1047","282","3.713","72.894","Fairly Easy","","","","","","","","","","pt","34c94b04dffe1943aca478b0014d69e8","Indexable",""
"https://www.lolaaviamentos.com.br/politica_privacidade/","826","181","4.564","51.849","Fairly Hard","","","","","","","","","","pt","fd80d407b84f434d47d32d8d66ba59ab","Indexable",""
"https://lolaaviamentos.com.br/produtos/","1280","337","3.798","100.000","Very Easy","","","","","","","","","","pt","3241731fc50d58e24b4b7a9bca75257a","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","1008","297","3.394","80.938","Easy","","","","","","","","","","pt","c3b4f57ff906d396506e1dd6ff1407b","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","897","247","3.632","73.467","Fairly Easy","","","","","","","","","","pt","b93262562be32318b21855d648d099a5","Indexable",""
"https://lolaaviamentos.com.br/contato/","456","144","3.167","69.671","Normal","","","","","","","","","","pt","5021947375e01616dac32f088f6a5caf","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","1038","295","3.519","72.207","Fairly Easy","","","","","","","","","","pt","d4bafaba0c0c5f3b4cf6816cbaadd7cd","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/","660","231","2.857","71.780","Fairly Easy","","","","","","","","","","pt","2443ef46711fe3a45d4d56315fb2d868","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/","995","295","3.373","99.426","Very Easy","","","","","","","","","","pt","38f314f13bb1568de50e15da50d2a20b","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/branca/","542","181","2.994","72.369","Fairly Easy","","","","","","","","","","pt","be327148623ad814a2ddcfa101edead5","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/liquidacao/","901","260","3.465","99.093","Very Easy","","","","","","","","","","pt","82a43e60ff28eed455fb4a622361a17","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","633","200","3.165","80.799","Easy","","","","","","","","","","pt","bfa5937dd43ca7d1a66411a3684eb61e","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","857","235","3.647","73.124","Fairly Easy","","","","","","","","","","pt","beca11886a563eec2e57cfdbd2e3e8f4","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/tela/","621","192","3.234","81.352","Easy","","","","","","","","","","pt","159d996f085f2a38852f6a91a752c955","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","646","191","3.382","86.848","Easy","","","","","","","","","","pt","16fcb7c7169aad2fe91a5afbdbca4c8e","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/","995","295","3.373","99.426","Very Easy","","","","","","","","","","pt","c550f362f164821f31fe1901c6b4712f","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/vies1/","597","191","3.126","75.700","Fairly Easy","","","","","","","","","","pt","ed66b798ef033e031c8f4bbb44c27d00","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/","836","316","2.646","77.756","Fairly Easy","","","","","","","","","","pt","3f53435ad5be78a75f4ba419f1ff8200","Indexable",""
"https://lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","704","231","3.048","83.932","Easy","","","","","","","","","","pt","4eb6478fdc98e0201ae24bb8f30d9dec","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","558","188","2.968","75.103","Fairly Easy","","","","","","","","","","pt","ff75f13c0bd838550a120afbd0471d9e","Non-Indexable","Canonicalised"
