"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://lolaaviamentos.com.br/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Lola Aviamentos - Entretelas para confecções e insumos para Bonés","65","611","Aqui você vai encontrar uma ampla gama de acessórios e entretelas para bordado, termocolantes para patchwork, apliques e insumos para bonés.","140","907","","0","Lola Aviamentos - Entretelas para confecções e insumos para Bonés","65","Total: R$0,00","13","Mais vendidos","13","","","","https://www.lolaaviamentos.com.br/","","","","","","1103785","135671","135671","51.973","","836","316","2.646","77.756","Fairly Easy","0.576","0","0","","102","32","0","22.540","165","58","0","15","6","0","","","","","8e64ef76f28e3591e663cdb2337c61ae","0.082","Thu, 23 Jul 2026 14:41:23 GMT","","","","pt","1.1","","","","","","https://lolaaviamentos.com.br/","2026-07-23 13:55:06"
"https://lolaaviamentos.com.br/account/register","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","64","32","0","22.540","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://lolaaviamentos.com.br/account/register","2026-07-23 13:55:11"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Cinza","5","50","Compre online Cinza por R$260,90. Temos entretela cavalinho de memória termocolante cinza 330g, entretela cavalinho de memória termocolante cinza 285g e mais. Faça seu pedido e pag...","183","1174","","0","Cinza","5","Total: R$0,00","13","","0","","","","https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","","","","","","434096","89612","89612","34.329","","519","170","3.053","71.865","Fairly Easy","0.871","1","2","","83","33","0","23.240","93","39","0","14","6","0","","","","","833b2c334234c9d6474f59de2e4f6ebe","0.271","Thu, 23 Jul 2026 16:55:11 GMT","","","","pt","1.1","","","","","","https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","2026-07-23 13:55:11"
"https://lolaaviamentos.com.br/search/?q=tela+lt","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","4","2","0","1.410","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://lolaaviamentos.com.br/search/?q=tela+lt","2026-07-23 13:55:12"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Regulador Plástico","18","167","Compre online Regulador Plástico por R$189,90. Temos Regulador Plástico Proflex para Boné 1.000 und. e mais. Faça seu pedido e pague-o online.","142","908","","0","Regulador Plástico","18","Total: R$0,00","13","","0","","","","https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","","","","","","451836","89648","89648","34.342","","518","161","3.217","70.953","Fairly Easy","0.836","1","2","","81","33","0","23.240","88","38","0","14","6","0","","","","","b24aaf333a7ca9af8ba8fa058570ab30","0.527","Thu, 23 Jul 2026 16:55:11 GMT","","","","pt","1.1","","","","","","https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","2026-07-23 13:55:11"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","text/html; charset=UTF-8","200","OK","Indexable","","Filme Plástico Mágico para Bordado 45g - Flexível e Sem Formaldeíd","66","611","Filme plástico para bordado 45g, flexível e sem formaldeído, facilita o processo e reduz custos. Ideal para bordados infantis. Compre agora e agilize seu trabalho!","163","992","","0","Filme Plástico Mágico para Bordado 45g","38","Total: R$0,00","13","R$411,00","8","","","","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","","","","","","639887","135227","135227","51.803","","848","229","3.703","71.188","Fairly Easy","0.897","1","2","","62","12","0","8.450","104","38","0","22","13","0","","","","","982560cc604f1e8dcf71e5bdc484609b","0.084","Thu, 23 Jul 2026 15:52:01 GMT","","","","pt","1.1","","","","","","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","2026-07-23 13:55:11"
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Entretela Não Tecido para Bordado Rasgável","42","397","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","139","861","","0","Entretela Não Tecido para Bordado Rasgável 40g Lec-40","53","Total: R$0,00","13","R$175,00","8","","","","https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","","","","","","1032399","168518","168518","64.556","","1011","289","3.498","73.665","Fairly Easy","0.760","1","2","","44","3","0","2.110","130","45","0","25","16","0","","","","","39e099bf2dd4fde49edf9dab6716b1d7","0.650","Thu, 23 Jul 2026 16:55:12 GMT","","","","pt","1.1","","","","","","https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","2026-07-23 13:55:11"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","text/html; charset=UTF-8","200","OK","Indexable","","Fita Mágica Termocolante Dupla Face 0,2cm x 50m para Bainha","59","568","Fita termocolante dupla face para bainha rápida e prática. Ajuste barras sem costura com acabamento perfeito. Compre já!","120","763","","0","Fita Mágica Instantanea Dupla Face Termocolante (Bainha Mágica) 2.0cm x 50m","75","Total: R$0,00","13","R$14,90","7","","","","https://www.lolaaviamentos.com.br/produtos/fita-magica/","","","","","","1190499","166421","166421","63.753","","1112","307","3.622","65.227","Normal","0.703","1","2","","45","3","0","2.110","131","44","0","20","11","0","","","","","4658eb7557a6ba7884662bb6da0013eb","0.114","Thu, 23 Jul 2026 16:55:12 GMT","","","","pt","1.1","","","","","","https://www.lolaaviamentos.com.br/produtos/fita-magica/","2026-07-23 13:55:12"
"https://www.lolaaviamentos.com.br/empresa/","text/html; charset=UTF-8","200","OK","Indexable","","A Lola","6","56","A Lola Aviamentos está localizada em Apucarana - PR e é uma empresa focada na importação e distribuição de insumos, maquinários, e soluções para o ramo de co...","160","1025","","0","A Lola","6","Total: R$0,00","13","","0","","","","https://www.lolaaviamentos.com.br/empresa/","","","","","","362077","82205","82205","31.491","","614","154","3.987","53.843","Fairly Hard","1.191","1","1","","154","142","0","100.000","78","35","0","14","6","0","","","","","d289343d03435e200dd28af782a41aa8","0.725","","","","","pt","1.1","","","","","","https://www.lolaaviamentos.com.br/empresa/","2026-07-23 13:55:13"
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Tecidos","7","70","Compre online Tecidos por R$247,50. Temos Tecido Suede 160g e mais. Faça seu pedido e pague-o online.","101","655","","0","Tecidos","7","Total: R$0,00","13","","0","","","","https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","","","","","","422242","88677","88677","33.970","","495","158","3.133","69.833","Normal","0.857","1","2","","81","33","0","23.240","88","38","0","14","6","0","","","","","bb03fc40c0f516782f66e91fda5f9704","0.680","Thu, 23 Jul 2026 16:55:13 GMT","","","","pt","1.1","","","","","","https://lolaaviamentos.com.br/insumos-para-bones/suede1/","2026-07-23 13:55:13"
